2021-08-08 00:24:38,852 - crypto_trading_logger - INFO - Starting
2021-08-08 00:24:38,852 - crypto_trading_logger - INFO - autotrade start
2021-08-08 00:24:57,976 - crypto_trading_logger - INFO - Starting
2021-08-08 00:24:57,977 - crypto_trading_logger - INFO - autotrade start
2021-08-08 00:24:58,113 - crypto_trading_logger - INFO - base time 2021-08-08 00:24:00
2021-08-08 00:26:44,915 - crypto_trading_logger - INFO - Starting
2021-08-08 00:26:44,915 - crypto_trading_logger - INFO - autotrade start
2021-08-08 00:28:18,757 - crypto_trading_logger - INFO - now 2021-08-08 00:28:18.757337, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:19,809 - crypto_trading_logger - INFO - now 2021-08-08 00:28:19.809602, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:20,861 - crypto_trading_logger - INFO - now 2021-08-08 00:28:20.861514, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:21,911 - crypto_trading_logger - INFO - now 2021-08-08 00:28:21.911086, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:22,986 - crypto_trading_logger - INFO - now 2021-08-08 00:28:22.986314, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:24,040 - crypto_trading_logger - INFO - now 2021-08-08 00:28:24.040940, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:25,090 - crypto_trading_logger - INFO - now 2021-08-08 00:28:25.090571, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:26,151 - crypto_trading_logger - INFO - now 2021-08-08 00:28:26.151178, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:27,208 - crypto_trading_logger - INFO - now 2021-08-08 00:28:27.208894, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:28,259 - crypto_trading_logger - INFO - now 2021-08-08 00:28:28.259800, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:29,314 - crypto_trading_logger - INFO - now 2021-08-08 00:28:29.314033, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:30,365 - crypto_trading_logger - INFO - now 2021-08-08 00:28:30.365059, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:31,418 - crypto_trading_logger - INFO - now 2021-08-08 00:28:31.418075, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:32,478 - crypto_trading_logger - INFO - now 2021-08-08 00:28:32.478450, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:33,545 - crypto_trading_logger - INFO - now 2021-08-08 00:28:33.545743, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:34,599 - crypto_trading_logger - INFO - now 2021-08-08 00:28:34.599781, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:35,652 - crypto_trading_logger - INFO - now 2021-08-08 00:28:35.652333, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:36,702 - crypto_trading_logger - INFO - now 2021-08-08 00:28:36.702178, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:37,754 - crypto_trading_logger - INFO - now 2021-08-08 00:28:37.754785, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:38,810 - crypto_trading_logger - INFO - now 2021-08-08 00:28:38.810328, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:39,866 - crypto_trading_logger - INFO - now 2021-08-08 00:28:39.865757, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:40,932 - crypto_trading_logger - INFO - now 2021-08-08 00:28:40.932396, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:41,984 - crypto_trading_logger - INFO - now 2021-08-08 00:28:41.984791, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:43,042 - crypto_trading_logger - INFO - now 2021-08-08 00:28:43.042252, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:44,096 - crypto_trading_logger - INFO - now 2021-08-08 00:28:44.096667, tick 2021-08-08 00:27:00, t_price 278.5
